epoch,best_auc_ZHEYI_vs_self/epoch,best_auc_ZHEYI_vs_self/acc_yinda_level0,best_auc_ZHEYI_vs_self/auc_yinda_level0,best_auc_ZHEYI_vs_self/mean_average_precision_at_r_level0,best_auc_ZHEYI_vs_self/precision_at_1_level0,best_auc_ZHEYI_vs_self/r_precision_level0,best_auc_ZHEYI_vs_self/best_epoch,best_auc_ZHEYI_vs_self/best_accuracy
1,1.0,0.5961538553237915,0.5138248801231384,0.43288594484329224,0.7692307829856873,0.5871794819831848,1.0,0.5549893379211426
2,2.0,0.5961538553237915,0.5714285969734192,0.44470134377479553,0.8269230723381042,0.5919871926307678,2.0,0.583791196346283
3,3.0,0.5961538553237915,0.6605222821235657,0.4621872305870056,0.8269230723381042,0.6025640964508057,3.0,0.6283380389213562
4,4.0,0.4038461446762085,0.7480798959732056,0.47408920526504517,0.807692289352417,0.6086538434028625,3.0,0.6283380389213562
5,5.0,0.4038461446762085,0.8110598921775818,0.4896377623081207,0.7884615659713745,0.6208333373069763,3.0,0.6283380389213562
6,6.0,0.5,0.8494623899459839,0.49730318784713745,0.7692307829856873,0.6272435784339905,6.0,0.6747311949729919
7,7.0,0.7884615659713745,0.8602150678634644,0.5020878911018372,0.807692289352417,0.6317307949066162,7.0,0.8243383169174194
8,8.0,0.7307692170143127,0.8801843523979187,0.5059570670127869,0.75,0.6394230723381042,7.0,0.8243383169174194
9,9.0,0.7115384340286255,0.8894008994102478,0.5067080855369568,0.75,0.6426281929016113,7.0,0.8243383169174194
10,10.0,0.75,0.8940092325210571,0.5130795836448669,0.7692307829856873,0.6474359035491943,7.0,0.8243383169174194
11,11.0,0.7307692170143127,0.8970814347267151,0.5140056610107422,0.7692307829856873,0.6496794819831848,7.0,0.8243383169174194
12,12.0,0.7692307829856873,0.8970814347267151,0.5152581334114075,0.75,0.6506410241127014,12.0,0.8331561088562012
13,13.0,0.7884615659713745,0.8940092325210571,0.5221952795982361,0.692307710647583,0.6602563858032227,13.0,0.8412353992462158
14,14.0,0.807692289352417,0.8986175060272217,0.53587806224823,0.7692307829856873,0.6708333492279053,14.0,0.8531548976898193
15,15.0,0.8269230723381042,0.8970814347267151,0.5503249764442444,0.7884615659713745,0.6865384578704834,15.0,0.8620022535324097
16,16.0,0.8461538553237915,0.8940092325210571,0.5551732778549194,0.7884615659713745,0.6907051205635071,16.0,0.8700815439224243
17,17.0,0.8653846383094788,0.8924731016159058,0.5569174885749817,0.7884615659713745,0.6916666626930237,17.0,0.8789288401603699
18,18.0,0.8461538553237915,0.8955453038215637,0.5587412714958191,0.7884615659713745,0.6913461685180664,17.0,0.8789288401603699
19,19.0,0.8461538553237915,0.8970814347267151,0.5625182390213013,0.7884615659713745,0.6948717832565308,17.0,0.8789288401603699
20,20.0,0.8461538553237915,0.8970814347267151,0.5639034509658813,0.807692289352417,0.6955128312110901,17.0,0.8789288401603699
21,21.0,0.8461538553237915,0.8970814347267151,0.5657690763473511,0.807692289352417,0.6964743733406067,17.0,0.8789288401603699
22,22.0,0.8461538553237915,0.8970814347267151,0.5690962672233582,0.807692289352417,0.6983974575996399,17.0,0.8789288401603699
23,23.0,0.8461538553237915,0.8986175060272217,0.5721853971481323,0.807692289352417,0.7003205418586731,17.0,0.8789288401603699
24,24.0,0.8461538553237915,0.8970814347267151,0.5720652341842651,0.7692307829856873,0.7006410360336304,17.0,0.8789288401603699
25,25.0,0.8461538553237915,0.8970814347267151,0.5734233260154724,0.75,0.701602578163147,17.0,0.8789288401603699
26,26.0,0.8461538553237915,0.8986175060272217,0.5739650130271912,0.7307692170143127,0.7028846144676208,17.0,0.8789288401603699
27,27.0,0.8461538553237915,0.8986175060272217,0.572948694229126,0.7115384340286255,0.7012820243835449,17.0,0.8789288401603699
28,28.0,0.8461538553237915,0.8970814347267151,0.5756132006645203,0.7115384340286255,0.7028846144676208,17.0,0.8789288401603699
29,29.0,0.8269230723381042,0.8940092325210571,0.5804738402366638,0.75,0.7067307829856873,17.0,0.8789288401603699
30,30.0,0.8461538553237915,0.8955453038215637,0.5846113562583923,0.8269230723381042,0.709294855594635,17.0,0.8789288401603699
31,31.0,0.8461538553237915,0.8955453038215637,0.5883451700210571,0.807692289352417,0.7124999761581421,17.0,0.8789288401603699
32,32.0,0.8461538553237915,0.8986175060272217,0.592826247215271,0.8269230723381042,0.7137820720672607,17.0,0.8789288401603699
33,33.0,0.8461538553237915,0.8986175060272217,0.5921497941017151,0.8269230723381042,0.7118589878082275,17.0,0.8789288401603699
34,34.0,0.8461538553237915,0.8970814347267151,0.5918271541595459,0.8269230723381042,0.7112179398536682,17.0,0.8789288401603699
35,35.0,0.8461538553237915,0.8986175060272217,0.5920574069023132,0.807692289352417,0.7115384340286255,17.0,0.8789288401603699
36,36.0,0.8461538553237915,0.900153636932373,0.5944095253944397,0.8269230723381042,0.7134615182876587,17.0,0.8789288401603699
37,37.0,0.8461538553237915,0.8970814347267151,0.5952092409133911,0.8269230723381042,0.714102566242218,17.0,0.8789288401603699
38,38.0,0.8461538553237915,0.8986175060272217,0.5970504879951477,0.8269230723381042,0.7153846025466919,17.0,0.8789288401603699
39,39.0,0.8653846383094788,0.900153636932373,0.5981174111366272,0.8461538553237915,0.7169871926307678,39.0,0.8827691078186035
40,40.0,0.8653846383094788,0.900153636932373,0.5983852744102478,0.8461538553237915,0.7153846025466919,39.0,0.8827691078186035
41,41.0,0.8461538553237915,0.8986175060272217,0.59744793176651,0.8461538553237915,0.714102566242218,39.0,0.8827691078186035
42,42.0,0.8653846383094788,0.8970814347267151,0.5980423092842102,0.8269230723381042,0.714102566242218,39.0,0.8827691078186035
43,43.0,0.8653846383094788,0.8970814347267151,0.5982488989830017,0.8269230723381042,0.714102566242218,39.0,0.8827691078186035
44,44.0,0.8653846383094788,0.8970814347267151,0.5990608334541321,0.8461538553237915,0.7137820720672607,39.0,0.8827691078186035
45,45.0,0.8653846383094788,0.8970814347267151,0.6037254333496094,0.8461538553237915,0.7208333611488342,39.0,0.8827691078186035
46,46.0,0.8653846383094788,0.8970814347267151,0.6029571294784546,0.8461538553237915,0.718589723110199,39.0,0.8827691078186035
47,47.0,0.8653846383094788,0.8955453038215637,0.601894736289978,0.8461538553237915,0.7166666388511658,39.0,0.8827691078186035
48,48.0,0.8846153616905212,0.8970814347267151,0.6016162633895874,0.8461538553237915,0.7163461446762085,48.0,0.8908483982086182
49,49.0,0.8653846383094788,0.8955453038215637,0.6007848381996155,0.8269230723381042,0.7163461446762085,48.0,0.8908483982086182
50,50.0,0.8653846383094788,0.8924731016159058,0.6017358899116516,0.8269230723381042,0.7166666388511658,48.0,0.8908483982086182
51,51.0,0.8653846383094788,0.8940092325210571,0.6011225581169128,0.8269230723381042,0.7160256505012512,48.0,0.8908483982086182
52,52.0,0.8846153616905212,0.8940092325210571,0.6015251874923706,0.8269230723381042,0.7160256505012512,48.0,0.8908483982086182
53,53.0,0.8461538553237915,0.8894008994102478,0.604148805141449,0.8269230723381042,0.718589723110199,48.0,0.8908483982086182
54,54.0,0.8653846383094788,0.8940092325210571,0.6049766540527344,0.8269230723381042,0.718589723110199,48.0,0.8908483982086182
55,55.0,0.8653846383094788,0.8986175060272217,0.6072273850440979,0.8461538553237915,0.7198718190193176,48.0,0.8908483982086182
56,56.0,0.8846153616905212,0.8970814347267151,0.6066663265228271,0.8461538553237915,0.718910276889801,48.0,0.8908483982086182
57,57.0,0.8653846383094788,0.8955453038215637,0.6060630679130554,0.8461538553237915,0.718589723110199,48.0,0.8908483982086182
58,58.0,0.8653846383094788,0.8940092325210571,0.6065660715103149,0.8461538553237915,0.718589723110199,48.0,0.8908483982086182
59,59.0,0.8653846383094788,0.8940092325210571,0.6054254770278931,0.8461538553237915,0.7169871926307678,48.0,0.8908483982086182
60,60.0,0.8653846383094788,0.8924731016159058,0.6066032648086548,0.8461538553237915,0.7179487347602844,48.0,0.8908483982086182
61,61.0,0.8461538553237915,0.8924731016159058,0.6076363325119019,0.8653846383094788,0.7182692289352417,48.0,0.8908483982086182
62,62.0,0.8461538553237915,0.8878648281097412,0.6064809560775757,0.8461538553237915,0.7179487347602844,48.0,0.8908483982086182
63,63.0,0.8461538553237915,0.8863286972045898,0.6054763793945312,0.8461538553237915,0.7163461446762085,48.0,0.8908483982086182
64,64.0,0.9038461446762085,0.8863286972045898,0.6056109666824341,0.8461538553237915,0.7166666388511658,64.0,0.8950874209403992
65,65.0,0.9038461446762085,0.8878648281097412,0.6066571474075317,0.8653846383094788,0.7166666388511658,65.0,0.8958554863929749
66,66.0,0.8461538553237915,0.8878648281097412,0.6071308851242065,0.8846153616905212,0.7169871926307678,65.0,0.8958554863929749
67,67.0,0.8269230723381042,0.8878648281097412,0.6058869957923889,0.8653846383094788,0.715705156326294,65.0,0.8958554863929749
68,68.0,0.8461538553237915,0.8894008994102478,0.608430027961731,0.8653846383094788,0.718589723110199,65.0,0.8958554863929749
69,69.0,0.9038461446762085,0.8894008994102478,0.6068634986877441,0.8653846383094788,0.7153846025466919,69.0,0.8966235518455505
70,70.0,0.8846153616905212,0.8909370303153992,0.6075170636177063,0.8653846383094788,0.7173076868057251,69.0,0.8966235518455505
71,71.0,0.8461538553237915,0.8909370303153992,0.6066230535507202,0.8653846383094788,0.7169871926307678,69.0,0.8966235518455505
72,72.0,0.8461538553237915,0.8894008994102478,0.604885995388031,0.8653846383094788,0.7163461446762085,69.0,0.8966235518455505
73,73.0,0.8461538553237915,0.8909370303153992,0.6040054559707642,0.8461538553237915,0.7150641083717346,69.0,0.8966235518455505
74,74.0,0.8269230723381042,0.8924731016159058,0.6044049263000488,0.8461538553237915,0.7166666388511658,69.0,0.8966235518455505
75,75.0,0.8269230723381042,0.8924731016159058,0.6038262844085693,0.8653846383094788,0.7160256505012512,69.0,0.8966235518455505
76,76.0,0.8269230723381042,0.8909370303153992,0.602948009967804,0.8653846383094788,0.7144230604171753,69.0,0.8966235518455505
77,77.0,0.8653846383094788,0.8924731016159058,0.6021003127098083,0.8653846383094788,0.7121794819831848,69.0,0.8966235518455505
78,78.0,0.8269230723381042,0.8924731016159058,0.6021958589553833,0.8653846383094788,0.7108974456787109,69.0,0.8966235518455505
79,79.0,0.8269230723381042,0.8924731016159058,0.6033325791358948,0.8653846383094788,0.7124999761581421,69.0,0.8966235518455505
80,80.0,0.8269230723381042,0.8924731016159058,0.602367639541626,0.8653846383094788,0.7118589878082275,69.0,0.8966235518455505
81,81.0,0.8269230723381042,0.8924731016159058,0.6025891304016113,0.8653846383094788,0.7118589878082275,69.0,0.8966235518455505
82,82.0,0.8269230723381042,0.8924731016159058,0.6028671860694885,0.8653846383094788,0.7134615182876587,69.0,0.8966235518455505
83,83.0,0.8269230723381042,0.8924731016159058,0.6032331585884094,0.8653846383094788,0.7131410241127014,69.0,0.8966235518455505
84,84.0,0.8653846383094788,0.8878648281097412,0.6045671105384827,0.8653846383094788,0.714102566242218,69.0,0.8966235518455505
85,85.0,0.8269230723381042,0.8878648281097412,0.6048234701156616,0.8653846383094788,0.7144230604171753,69.0,0.8966235518455505
86,86.0,0.8269230723381042,0.8878648281097412,0.6028655171394348,0.807692289352417,0.7128205299377441,69.0,0.8966235518455505
87,87.0,0.8269230723381042,0.8878648281097412,0.6020238399505615,0.807692289352417,0.7121794819831848,69.0,0.8966235518455505
88,88.0,0.8653846383094788,0.8863286972045898,0.6005000472068787,0.807692289352417,0.7102563977241516,69.0,0.8966235518455505
89,89.0,0.8846153616905212,0.8863286972045898,0.6018971800804138,0.807692289352417,0.7115384340286255,69.0,0.8966235518455505
90,90.0,0.8269230723381042,0.8878648281097412,0.6019189357757568,0.807692289352417,0.7128205299377441,69.0,0.8966235518455505
91,91.0,0.8269230723381042,0.8878648281097412,0.6029988527297974,0.7884615659713745,0.7144230604171753,69.0,0.8966235518455505
92,92.0,0.8461538553237915,0.8878648281097412,0.6035732626914978,0.807692289352417,0.7150641083717346,69.0,0.8966235518455505
93,93.0,0.8846153616905212,0.8863286972045898,0.6033443808555603,0.8269230723381042,0.7121794819831848,69.0,0.8966235518455505
94,94.0,0.8269230723381042,0.8863286972045898,0.6009999513626099,0.8269230723381042,0.7099359035491943,69.0,0.8966235518455505
95,95.0,0.8269230723381042,0.8847926259040833,0.60331130027771,0.8269230723381042,0.7115384340286255,69.0,0.8966235518455505
96,96.0,0.8461538553237915,0.8847926259040833,0.6034471988677979,0.807692289352417,0.7121794819831848,69.0,0.8966235518455505
97,97.0,0.8653846383094788,0.8847926259040833,0.6048526167869568,0.807692289352417,0.7124999761581421,69.0,0.8966235518455505
98,98.0,0.8269230723381042,0.8863286972045898,0.604833722114563,0.8269230723381042,0.7124999761581421,69.0,0.8966235518455505
99,99.0,0.8461538553237915,0.8863286972045898,0.605773389339447,0.8269230723381042,0.714102566242218,69.0,0.8966235518455505
100,100.0,0.8653846383094788,0.8847926259040833,0.6054673194885254,0.8269230723381042,0.7131410241127014,69.0,0.8966235518455505
101,101.0,0.8461538553237915,0.8832565546035767,0.6053917407989502,0.8269230723381042,0.7134615182876587,69.0,0.8966235518455505
102,102.0,0.8269230723381042,0.8832565546035767,0.6041985154151917,0.8269230723381042,0.7118589878082275,69.0,0.8966235518455505
103,103.0,0.8269230723381042,0.8847926259040833,0.6044021248817444,0.8269230723381042,0.7128205299377441,69.0,0.8966235518455505
104,104.0,0.8461538553237915,0.8832565546035767,0.604703962802887,0.8269230723381042,0.7124999761581421,69.0,0.8966235518455505
105,105.0,0.8461538553237915,0.8801843523979187,0.6058897376060486,0.8269230723381042,0.7144230604171753,69.0,0.8966235518455505
106,106.0,0.8269230723381042,0.8817204236984253,0.6056156754493713,0.8269230723381042,0.714102566242218,69.0,0.8966235518455505
107,107.0,0.8461538553237915,0.8832565546035767,0.6052749156951904,0.807692289352417,0.7150641083717346,69.0,0.8966235518455505
108,108.0,0.8461538553237915,0.8832565546035767,0.605732798576355,0.807692289352417,0.7153846025466919,69.0,0.8966235518455505
109,109.0,0.8461538553237915,0.8817204236984253,0.6056709289550781,0.807692289352417,0.714102566242218,69.0,0.8966235518455505
110,110.0,0.8269230723381042,0.8863286972045898,0.6058834791183472,0.807692289352417,0.7153846025466919,69.0,0.8966235518455505
111,111.0,0.8461538553237915,0.8832565546035767,0.6063587069511414,0.807692289352417,0.7153846025466919,69.0,0.8966235518455505
112,112.0,0.8461538553237915,0.8817204236984253,0.6061626076698303,0.807692289352417,0.7160256505012512,69.0,0.8966235518455505
113,113.0,0.8461538553237915,0.8817204236984253,0.6072472929954529,0.807692289352417,0.715705156326294,69.0,0.8966235518455505
114,114.0,0.8461538553237915,0.8817204236984253,0.6079022288322449,0.807692289352417,0.7173076868057251,69.0,0.8966235518455505
115,115.0,0.8461538553237915,0.8817204236984253,0.6083928942680359,0.8269230723381042,0.7163461446762085,69.0,0.8966235518455505
116,116.0,0.8461538553237915,0.8817204236984253,0.6075945496559143,0.807692289352417,0.7163461446762085,69.0,0.8966235518455505
117,117.0,0.8461538553237915,0.8817204236984253,0.6079137325286865,0.807692289352417,0.7163461446762085,69.0,0.8966235518455505
118,118.0,0.8269230723381042,0.8817204236984253,0.6077315807342529,0.807692289352417,0.7160256505012512,69.0,0.8966235518455505
119,119.0,0.8461538553237915,0.8817204236984253,0.6075288653373718,0.807692289352417,0.7153846025466919,69.0,0.8966235518455505
120,120.0,0.8269230723381042,0.8817204236984253,0.606991708278656,0.7884615659713745,0.7147436141967773,69.0,0.8966235518455505
121,121.0,0.8461538553237915,0.8801843523979187,0.6068410277366638,0.7884615659713745,0.7147436141967773,69.0,0.8966235518455505
122,122.0,0.8461538553237915,0.8786482214927673,0.606988251209259,0.7884615659713745,0.7163461446762085,69.0,0.8966235518455505
123,123.0,0.8653846383094788,0.8755760192871094,0.6082023978233337,0.7884615659713745,0.7179487347602844,69.0,0.8966235518455505
124,124.0,0.8461538553237915,0.8771121501922607,0.607966423034668,0.7884615659713745,0.715705156326294,69.0,0.8966235518455505
125,125.0,0.8653846383094788,0.8771121501922607,0.6069089770317078,0.7692307829856873,0.7150641083717346,69.0,0.8966235518455505
126,126.0,0.8461538553237915,0.8801843523979187,0.6052864789962769,0.75,0.7124999761581421,69.0,0.8966235518455505
127,127.0,0.8461538553237915,0.8771121501922607,0.6052755117416382,0.75,0.7131410241127014,69.0,0.8966235518455505
128,128.0,0.8461538553237915,0.8786482214927673,0.6077349781990051,0.7692307829856873,0.7160256505012512,69.0,0.8966235518455505
129,129.0,0.8461538553237915,0.8801843523979187,0.6069856882095337,0.75,0.7150641083717346,69.0,0.8966235518455505
130,130.0,0.8461538553237915,0.8786482214927673,0.6079257726669312,0.75,0.7160256505012512,69.0,0.8966235518455505
131,131.0,0.8653846383094788,0.8771121501922607,0.6088690757751465,0.7692307829856873,0.7166666388511658,69.0,0.8966235518455505
132,132.0,0.8461538553237915,0.8771121501922607,0.6080067157745361,0.7692307829856873,0.7160256505012512,69.0,0.8966235518455505
133,133.0,0.8461538553237915,0.8771121501922607,0.6069488525390625,0.75,0.7153846025466919,69.0,0.8966235518455505
134,134.0,0.8653846383094788,0.8771121501922607,0.6063355803489685,0.75,0.7137820720672607,69.0,0.8966235518455505
135,135.0,0.8653846383094788,0.8755760192871094,0.6070141792297363,0.7692307829856873,0.7144230604171753,69.0,0.8966235518455505
136,136.0,0.8461538553237915,0.8771121501922607,0.6066601872444153,0.7884615659713745,0.7134615182876587,69.0,0.8966235518455505
137,137.0,0.8461538553237915,0.8786482214927673,0.6060950756072998,0.7884615659713745,0.7128205299377441,69.0,0.8966235518455505
138,138.0,0.8461538553237915,0.8786482214927673,0.6065374612808228,0.7692307829856873,0.7134615182876587,69.0,0.8966235518455505
139,139.0,0.8653846383094788,0.8786482214927673,0.6057649254798889,0.7307692170143127,0.7134615182876587,69.0,0.8966235518455505
140,140.0,0.8653846383094788,0.8801843523979187,0.6063055992126465,0.7307692170143127,0.714102566242218,69.0,0.8966235518455505
141,141.0,0.8461538553237915,0.8786482214927673,0.6059426069259644,0.75,0.7131410241127014,69.0,0.8966235518455505
142,142.0,0.8461538553237915,0.8786482214927673,0.6071752309799194,0.807692289352417,0.7131410241127014,69.0,0.8966235518455505
143,143.0,0.8653846383094788,0.8740399479866028,0.6064393520355225,0.7884615659713745,0.7134615182876587,69.0,0.8966235518455505
144,144.0,0.8653846383094788,0.8725038170814514,0.6078827381134033,0.807692289352417,0.7137820720672607,69.0,0.8966235518455505
145,145.0,0.8653846383094788,0.8709677457809448,0.6084901094436646,0.807692289352417,0.7137820720672607,69.0,0.8966235518455505
146,146.0,0.8461538553237915,0.8709677457809448,0.6094727516174316,0.7884615659713745,0.7147436141967773,69.0,0.8966235518455505
147,147.0,0.8653846383094788,0.8709677457809448,0.6109519600868225,0.807692289352417,0.715705156326294,69.0,0.8966235518455505
148,148.0,0.8653846383094788,0.8725038170814514,0.6114821434020996,0.807692289352417,0.7166666388511658,69.0,0.8966235518455505
149,149.0,0.8653846383094788,0.8725038170814514,0.6087237000465393,0.7692307829856873,0.7147436141967773,69.0,0.8966235518455505
150,150.0,0.8653846383094788,0.8709677457809448,0.6085001826286316,0.75,0.7153846025466919,69.0,0.8966235518455505
151,151.0,0.8653846383094788,0.8709677457809448,0.6072859168052673,0.7692307829856873,0.7124999761581421,69.0,0.8966235518455505
152,152.0,0.8653846383094788,0.8709677457809448,0.6068713665008545,0.7692307829856873,0.7124999761581421,69.0,0.8966235518455505
153,153.0,0.8653846383094788,0.8709677457809448,0.606772780418396,0.7692307829856873,0.7124999761581421,69.0,0.8966235518455505
154,154.0,0.8653846383094788,0.8709677457809448,0.6071107983589172,0.7692307829856873,0.7124999761581421,69.0,0.8966235518455505
155,155.0,0.8653846383094788,0.8709677457809448,0.6064552068710327,0.7692307829856873,0.7124999761581421,69.0,0.8966235518455505
156,156.0,0.8461538553237915,0.8709677457809448,0.60693359375,0.7692307829856873,0.7131410241127014,69.0,0.8966235518455505
157,157.0,0.8653846383094788,0.8725038170814514,0.6056235432624817,0.7692307829856873,0.7118589878082275,69.0,0.8966235518455505
158,158.0,0.8653846383094788,0.8725038170814514,0.6066914200782776,0.7884615659713745,0.7128205299377441,69.0,0.8966235518455505
159,159.0,0.8653846383094788,0.8725038170814514,0.6059325337409973,0.7884615659713745,0.7118589878082275,69.0,0.8966235518455505
160,160.0,0.8653846383094788,0.8725038170814514,0.6079646348953247,0.807692289352417,0.7131410241127014,69.0,0.8966235518455505
161,161.0,0.8653846383094788,0.8725038170814514,0.6067105531692505,0.807692289352417,0.7124999761581421,69.0,0.8966235518455505
162,162.0,0.8653846383094788,0.8725038170814514,0.6067299842834473,0.7884615659713745,0.7121794819831848,69.0,0.8966235518455505
163,163.0,0.8653846383094788,0.8725038170814514,0.6049401760101318,0.7692307829856873,0.7112179398536682,69.0,0.8966235518455505
164,164.0,0.8653846383094788,0.8725038170814514,0.6062009334564209,0.7692307829856873,0.7128205299377441,69.0,0.8966235518455505
165,165.0,0.8653846383094788,0.8725038170814514,0.6069790124893188,0.7692307829856873,0.714102566242218,69.0,0.8966235518455505
166,166.0,0.8653846383094788,0.8725038170814514,0.6071016192436218,0.7692307829856873,0.7147436141967773,69.0,0.8966235518455505
167,167.0,0.8653846383094788,0.8725038170814514,0.6080236434936523,0.7692307829856873,0.7147436141967773,69.0,0.8966235518455505
168,168.0,0.8653846383094788,0.8725038170814514,0.6075207591056824,0.75,0.7147436141967773,69.0,0.8966235518455505
169,169.0,0.8653846383094788,0.8725038170814514,0.6066280603408813,0.75,0.7137820720672607,69.0,0.8966235518455505
170,170.0,0.8653846383094788,0.8725038170814514,0.6088519096374512,0.7692307829856873,0.7153846025466919,69.0,0.8966235518455505
171,171.0,0.8653846383094788,0.8725038170814514,0.6092594265937805,0.7692307829856873,0.7153846025466919,69.0,0.8966235518455505
172,172.0,0.8653846383094788,0.8725038170814514,0.6096917390823364,0.7692307829856873,0.7163461446762085,69.0,0.8966235518455505
173,173.0,0.8653846383094788,0.8725038170814514,0.6121235489845276,0.75,0.7198718190193176,69.0,0.8966235518455505
174,174.0,0.8653846383094788,0.8725038170814514,0.6124417185783386,0.75,0.7208333611488342,69.0,0.8966235518455505
175,175.0,0.8653846383094788,0.8725038170814514,0.6132512092590332,0.75,0.721794843673706,69.0,0.8966235518455505
176,176.0,0.8653846383094788,0.8725038170814514,0.6151026487350464,0.75,0.723397433757782,69.0,0.8966235518455505
177,177.0,0.8653846383094788,0.8725038170814514,0.6147792339324951,0.75,0.723397433757782,69.0,0.8966235518455505
178,178.0,0.8653846383094788,0.8709677457809448,0.6177469491958618,0.75,0.7259615659713745,69.0,0.8966235518455505
179,179.0,0.8653846383094788,0.8725038170814514,0.6184421181678772,0.75,0.7269230484962463,69.0,0.8966235518455505
180,180.0,0.8653846383094788,0.8725038170814514,0.6199344992637634,0.75,0.728205144405365,69.0,0.8966235518455505
181,181.0,0.8653846383094788,0.8725038170814514,0.6184582710266113,0.7692307829856873,0.7272436022758484,69.0,0.8966235518455505
182,182.0,0.8653846383094788,0.8725038170814514,0.6164147257804871,0.7692307829856873,0.7240384817123413,69.0,0.8966235518455505
183,183.0,0.8653846383094788,0.8725038170814514,0.6162782907485962,0.7692307829856873,0.7246794700622559,69.0,0.8966235518455505
184,184.0,0.8653846383094788,0.8725038170814514,0.6164565682411194,0.7692307829856873,0.7253205180168152,69.0,0.8966235518455505
185,185.0,0.8653846383094788,0.8740399479866028,0.6177989840507507,0.7692307829856873,0.7250000238418579,69.0,0.8966235518455505
186,186.0,0.8653846383094788,0.8740399479866028,0.6182146668434143,0.7692307829856873,0.7243589758872986,69.0,0.8966235518455505
187,187.0,0.8653846383094788,0.8740399479866028,0.6181633472442627,0.7692307829856873,0.7240384817123413,69.0,0.8966235518455505
188,188.0,0.8653846383094788,0.8740399479866028,0.6184778213500977,0.7692307829856873,0.7240384817123413,69.0,0.8966235518455505
189,189.0,0.8653846383094788,0.8740399479866028,0.6184616088867188,0.7692307829856873,0.7230769395828247,69.0,0.8966235518455505
190,190.0,0.8653846383094788,0.8740399479866028,0.6175724267959595,0.7692307829856873,0.7237179279327393,69.0,0.8966235518455505
191,191.0,0.8653846383094788,0.8740399479866028,0.6200835108757019,0.7692307829856873,0.7275640964508057,69.0,0.8966235518455505
192,192.0,0.8653846383094788,0.8725038170814514,0.6184254288673401,0.75,0.7278845906257629,69.0,0.8966235518455505
193,193.0,0.8653846383094788,0.8709677457809448,0.6190217733383179,0.75,0.7278845906257629,69.0,0.8966235518455505
194,194.0,0.8653846383094788,0.8725038170814514,0.6199506521224976,0.7692307829856873,0.7278845906257629,69.0,0.8966235518455505
195,195.0,0.8653846383094788,0.8740399479866028,0.6189794540405273,0.7692307829856873,0.7262820601463318,69.0,0.8966235518455505
196,196.0,0.8653846383094788,0.8740399479866028,0.6202216744422913,0.7692307829856873,0.7278845906257629,69.0,0.8966235518455505
197,197.0,0.8653846383094788,0.8740399479866028,0.6200923323631287,0.7692307829856873,0.7278845906257629,69.0,0.8966235518455505
198,198.0,0.8653846383094788,0.8740399479866028,0.6192631125450134,0.75,0.7272436022758484,69.0,0.8966235518455505
199,199.0,0.8653846383094788,0.8740399479866028,0.6180354356765747,0.75,0.7240384817123413,69.0,0.8966235518455505
200,200.0,0.8653846383094788,0.8725038170814514,0.6179490685462952,0.7884615659713745,0.7240384817123413,69.0,0.8966235518455505
201,201.0,0.8653846383094788,0.8725038170814514,0.6192389130592346,0.807692289352417,0.7250000238418579,69.0,0.8966235518455505
